Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Jan 2025;Searches: Feb 2025;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025
chaveiro;BRL;3600;-19%;-19%;Alto;67;0,78;5,36;;;;;;4400;4400;5400;4400;3600;2900;3600;3600;3600;3600;2900;2900
chaveiro ribeirao preto;BRL;2400;0%;-21%;Alto;91;0,87;3,59;;;;;;2400;2900;2900;2900;1900;1900;2900;2400;1900;1900;1900;1900
chaveiro em ribeirão preto;BRL;2400;0%;-21%;Alto;91;0,87;3,59;;;;;;2400;2900;2900;2900;1900;1900;2900;2400;1900;1900;1900;1900
chaveiro perto de mim;BRL;1900;19%;0%;Alto;88;0,77;3,56;;;;;;1900;2400;2400;2400;1900;1600;2400;1900;1600;1600;1600;1900
chaveiros perto de mim;BRL;1900;19%;0%;Alto;88;0,77;3,56;;;;;;1900;2400;2400;2400;1900;1600;2400;1900;1600;1600;1600;1900
chaveiro ribeirão preto;BRL;720;22%;-18%;Alto;94;0,88;3,52;;;;;;880;1000;1000;880;720;590;720;590;720;590;590;720
chaveiro 24 horas;BRL;590;22%;0%;Alto;89;0,92;3,54;;;;;;390;590;1000;590;390;480;880;720;480;320;480;390
chaveiros 24 horas;BRL;590;22%;0%;Alto;89;0,92;3,54;;;;;;390;590;1000;590;390;480;880;720;480;320;480;390
chaveiro santa cruz;BRL;390;0%;179%;Baixo;14;0,67;1,39;;;;;;260;320;390;480;390;320;320;390;390;390;390;390
chaveiro japones;BRL;320;0%;86%;Baixo;23;0,64;0,99;;;;;;260;320;260;320;390;320;320;320;320;390;390;390
chaveiro beira rio;BRL;260;52%;129%;Baixo;10;0,6;1,31;;;;;;140;260;140;210;320;320;390;140;210;210;320;320
chaveiro didi;BRL;260;-19%;189%;Baixo;11;0,65;1,04;;;;;;140;210;260;260;320;320;320;320;260;320;260;260
chaveiro iraja;BRL;210;0%;189%;Baixo;20;0,59;1,39;;;;;;90;210;260;320;210;210;210;210;260;260;260;260
chaveiro mais próximo;BRL;170;-21%;-35%;Alto;81;0,83;3,57;;;;;;210;210;210;210;140;170;140;140;110;140;70;110
chaveiro próximo a mim;BRL;170;0%;-18%;Alto;84;0,7;3,5;;;;;;170;170;210;210;210;210;170;170;140;140;140;140
